Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2018-01-02,42.54,43.075,42.315,43.065,40.3042,102223600,2018,1,2,Tuesday,0.76
2018-01-03,43.1325,43.6375,42.99,43.0575,40.2972,118071600,2018,1,3,Wednesday,0.6475
2018-01-04,43.135,43.3675,43.02,43.2575,40.4843,89738400,2018,1,4,Thursday,0.3475
2018-01-05,43.36,43.8425,43.2625,43.75,40.9453,94640000,2018,1,5,Friday,0.58
2018-01-08,43.5875,43.9025,43.4825,43.5875,40.7932,82271200,2018,1,8,Monday,0.42
2018-01-09,43.6375,43.765,43.3525,43.5825,40.7885,86336000,2018,1,9,Tuesday,0.4125
2018-01-10,43.29,43.575,43.25,43.5725,40.7791,95839600,2018,1,10,Wednesday,0.325
2018-01-11,43.6475,43.8725,43.6225,43.82,41.0108,74670800,2018,1,11,Thursday,0.25
2018-01-12,44.045,44.34,43.9125,44.2725,41.4343,101672400,2018,1,12,Friday,0.4275
2018-01-16,44.475,44.8475,44.035,44.0475,41.2237,118263600,2018,1,16,Tuesday,0.8125
2018-01-17,44.0375,44.8125,43.7675,44.775,41.9046,137547200,2018,1,17,Wednesday,1.045
2018-01-18,44.8425,45.025,44.5625,44.815,41.942,124773600,2018,1,18,Thursday,0.4625
2018-01-19,44.6525,44.895,44.3525,44.615,41.7548,129700400,2018,1,19,Friday,0.5425
2018-01-22,44.325,44.445,44.15,44.25,41.4132,108434400,2018,1,22,Monday,0.295
2018-01-23,44.325,44.86,44.205,44.26,41.4226,130756400,2018,1,23,Tuesday,0.655
2018-01-24,44.3125,44.325,43.3,43.555,40.7628,204420400,2018,1,24,Wednesday,1.025
2018-01-25,43.6275,43.7375,42.6325,42.7775,40.0351,166116000,2018,1,25,Thursday,1.105
2018-01-26,43.0,43.0,42.515,42.8775,40.1287,156572000,2018,1,26,Friday,0.485
2018-01-29,42.54,42.54,41.7675,41.99,39.2981,202561600,2018,1,29,Monday,0.7725
2018-01-30,41.3825,41.8425,41.175,41.7425,39.0665,184192800,2018,1,30,Tuesday,0.6675
2018-01-31,41.7175,42.11,41.625,41.8575,39.1741,129915600,2018,1,31,Wednesday,0.485
2018-02-01,41.7925,42.155,41.69,41.945,39.256,188923200,2018,2,1,Thursday,0.465
2018-02-02,41.5,41.7,40.025,40.125,37.5527,346375200,2018,2,2,Friday,1.675
2018-02-05,39.775,40.97,39.0,39.1225,36.6144,290954000,2018,2,5,Monday,1.97
2018-02-06,38.7075,40.93,38.5,40.7575,38.1446,272975200,2018,2,6,Tuesday,2.43
2018-02-07,40.7725,40.85,39.7675,39.885,37.328,206434400,2018,2,7,Wednesday,1.0825
2018-02-08,40.0725,40.25,38.7575,38.7875,36.3009,217562000,2018,2,8,Thursday,1.4925
2018-02-09,39.2675,39.4725,37.56,39.1025,36.7449,282690400,2018,2,9,Friday,1.9125
2018-02-12,39.625,40.9725,39.3775,40.6775,38.225,243278000,2018,2,12,Monday,1.595
2018-02-13,40.4875,41.1875,40.4125,41.085,38.6079,130196800,2018,2,13,Tuesday,0.775
2018-02-14,40.76,41.885,40.72,41.8425,39.3197,162579600,2018,2,14,Wednesday,1.165
2018-02-15,42.4475,43.2725,42.25,43.2475,40.64,204588800,2018,2,15,Thursday,1.0225
2018-02-16,43.09,43.705,42.9425,43.1075,40.5084,160704400,2018,2,16,Friday,0.7625
2018-02-20,43.0125,43.565,42.855,42.9625,40.3722,135722000,2018,2,20,Tuesday,0.71
2018-02-21,43.2075,43.53,42.7525,42.7675,40.1889,149886400,2018,2,21,Wednesday,0.7775
2018-02-22,42.95,43.4875,42.9275,43.125,40.5249,123967600,2018,2,22,Thursday,0.56
2018-02-23,43.4175,43.9125,43.385,43.875,41.2297,135249600,2018,2,23,Friday,0.5275
2018-02-26,44.0875,44.8475,44.0525,44.7425,42.0448,152648800,2018,2,26,Monday,0.795
2018-02-27,44.775,45.12,44.54,44.5975,41.9086,155712400,2018,2,27,Tuesday,0.58
2018-02-28,44.815,45.155,44.5125,44.53,41.8452,151128400,2018,2,28,Wednesday,0.6425
