Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2018-01-02,42.54,43.075,42.315,43.065,40.3042,102223600,2018,1,2,Tuesday,0.76,,,,43.065,,,,,SELL,0,0
2018-01-03,43.1325,43.6375,42.99,43.0575,40.2972,118071600,2018,1,3,Wednesday,0.6475,,,,43.0643,-0.000174,-0.000174,-0.000174,,SELL,0,0
2018-01-04,43.135,43.3675,43.02,43.2575,40.4843,89738400,2018,1,4,Thursday,0.3475,,,,43.0827,0.004645,0.004634,0.00447,,SELL,0,0
2018-01-05,43.36,43.8425,43.2625,43.75,40.9453,94640000,2018,1,5,Friday,0.58,,,,43.1462,0.011385,0.011321,0.015906,,SELL,0,0
2018-01-08,43.5875,43.9025,43.4825,43.5875,40.7932,82271200,2018,1,8,Monday,0.42,,,,43.1883,-0.003714,-0.003721,0.012133,,SELL,0,0
2018-01-09,43.6375,43.765,43.3525,43.5825,40.7885,86336000,2018,1,9,Tuesday,0.4125,,,,43.2258,-0.000115,-0.000115,0.012017,,SELL,0,0
2018-01-10,43.29,43.575,43.25,43.5725,40.7791,95839600,2018,1,10,Wednesday,0.325,,,,43.2588,-0.000229,-0.000229,0.011785,,SELL,0,0
2018-01-11,43.6475,43.8725,43.6225,43.82,41.0108,74670800,2018,1,11,Thursday,0.25,,,,43.3123,0.00568,0.005664,0.017532,,SELL,0,0
2018-01-12,44.045,44.34,43.9125,44.2725,41.4343,101672400,2018,1,12,Friday,0.4275,,,,43.4037,0.010326,0.010273,0.028039,,SELL,0,0
2018-01-16,44.475,44.8475,44.035,44.0475,41.2237,118263600,2018,1,16,Tuesday,0.8125,,,,43.465,-0.005082,-0.005095,0.022814,,SELL,0,0
2018-01-17,44.0375,44.8125,43.7675,44.775,41.9046,137547200,2018,1,17,Wednesday,1.045,,,,43.5898,0.016516,0.016381,0.039707,,SELL,0,0
2018-01-18,44.8425,45.025,44.5625,44.815,41.942,124773600,2018,1,18,Thursday,0.4625,,,,43.7065,0.000893,0.000893,0.040636,,SELL,0,0
2018-01-19,44.6525,44.895,44.3525,44.615,41.7548,129700400,2018,1,19,Friday,0.5425,,,,43.793,-0.004463,-0.004473,0.035991,,SELL,0,0
2018-01-22,44.325,44.445,44.15,44.25,41.4132,108434400,2018,1,22,Monday,0.295,,,,43.8365,-0.008181,-0.008215,0.027516,,SELL,0,0
2018-01-23,44.325,44.86,44.205,44.26,41.4226,130756400,2018,1,23,Tuesday,0.655,,,,43.8769,0.000226,0.000226,0.027748,,SELL,0,0
2018-01-24,44.3125,44.325,43.3,43.555,40.7628,204420400,2018,1,24,Wednesday,1.025,,,,43.8462,-0.015929,-0.016057,0.011377,,SELL,0,0
2018-01-25,43.6275,43.7375,42.6325,42.7775,40.0351,166116000,2018,1,25,Thursday,1.105,,,,43.7444,-0.017851,-0.018012,-0.006677,,SELL,0,0
2018-01-26,43.0,43.0,42.515,42.8775,40.1287,156572000,2018,1,26,Friday,0.485,,,,43.6619,0.002338,0.002335,-0.004355,,SELL,0,0
2018-01-29,42.54,42.54,41.7675,41.99,39.2981,202561600,2018,1,29,Monday,0.7725,,,,43.5026,-0.020699,-0.020916,-0.024964,,SELL,0,0
2018-01-30,41.3825,41.8425,41.175,41.7425,39.0665,184192800,2018,1,30,Tuesday,0.6675,43.5835,,,43.335,-0.005894,-0.005912,-0.03071,,SELL,0,0
2018-01-31,41.7175,42.11,41.625,41.8575,39.1741,129915600,2018,1,31,Wednesday,0.485,43.5231,,,43.1943,0.002755,0.002751,-0.02804,0.150198,SELL,0,0
2018-02-01,41.7925,42.155,41.69,41.945,39.256,188923200,2018,2,1,Thursday,0.465,43.4675,,,43.0753,0.00209,0.002088,-0.026009,0.150653,SELL,0,0
