Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2018-01-02,52.651,53.799,52.651,53.6605,53.2206,31766000,2018,1,2,Tuesday,1.148
2018-01-03,53.6965,54.805,53.6715,54.576,54.1286,31318000,2018,1,3,Wednesday,1.1335
2018-01-04,54.8545,55.204,54.713,54.788,54.3389,26052000,2018,1,4,Thursday,0.491
2018-01-05,55.1725,55.679,55.09,55.5145,55.0594,30250000,2018,1,5,Friday,0.589
2018-01-08,55.55,55.958,55.5,55.7105,55.2538,24644000,2018,1,8,Monday,0.458
2018-01-09,55.922,55.922,55.41,55.6395,55.1834,26808000,2018,1,9,Tuesday,0.512
2018-01-10,55.35,55.639,55.199,55.507,55.052,20734000,2018,1,10,Wednesday,0.44
2018-01-11,55.6155,55.7425,55.324,55.6025,55.1467,22424000,2018,1,11,Thursday,0.4185
2018-01-12,55.505,56.565,55.4005,56.5325,56.0691,38586000,2018,1,12,Friday,1.1645
2018-01-16,57.0155,57.444,56.333,56.535,56.0716,36462000,2018,1,16,Tuesday,1.111
2018-01-17,56.818,56.966,56.1745,56.955,56.4881,27830000,2018,1,17,Wednesday,0.7915
2018-01-18,56.9675,57.0295,56.223,56.7985,56.3329,27498000,2018,1,18,Thursday,0.8065
2018-01-19,56.9015,57.189,56.625,57.175,56.7063,30552000,2018,1,19,Friday,0.564
2018-01-22,57.191,58.344,57.091,58.208,57.7309,29550000,2018,1,22,Monday,1.253
2018-01-23,58.531,58.9255,58.3625,58.8085,58.3264,39138000,2018,1,23,Tuesday,0.563
2018-01-24,59.249,59.3525,58.37,58.5645,58.0844,37128000,2018,1,24,Wednesday,0.9825
2018-01-25,59.0355,59.25,58.592,59.107,58.6225,29984000,2018,1,25,Thursday,0.658
2018-01-26,59.3765,59.378,58.4015,59.378,58.8913,42170000,2018,1,26,Friday,0.9765
2018-01-29,59.4,59.9,59.203,59.324,58.8377,31494000,2018,1,29,Monday,0.697
2018-01-30,58.886,59.3965,58.7255,58.8685,58.3859,37338000,2018,1,30,Tuesday,0.671
2018-01-31,59.1905,59.316,58.605,59.111,58.6264,36022000,2018,1,31,Wednesday,0.711
2018-02-01,58.7995,59.3725,58.468,59.0795,58.5952,73514000,2018,2,1,Thursday,0.9045
2018-02-02,56.371,56.565,55.5585,55.96,55.5013,117842000,2018,2,2,Friday,1.0065
2018-02-05,55.0305,55.7495,52.837,53.1195,52.6841,83550000,2018,2,5,Monday,2.9125
2018-02-06,51.699,54.369,51.5005,54.2215,53.777,76630000,2018,2,6,Tuesday,2.8685
2018-02-07,54.2485,54.3265,52.731,52.7705,52.3379,51942000,2018,2,7,Wednesday,1.5955
2018-02-08,52.9935,53.1965,50.235,50.3855,49.9725,66792000,2018,2,8,Thursday,2.9615
2018-02-09,51.294,52.586,49.85,52.3135,51.8847,98360000,2018,2,9,Friday,2.736
2018-02-12,52.8335,53.2785,52.2745,52.728,52.2958,56240000,2018,2,12,Monday,1.004
2018-02-13,52.5,53.061,52.346,52.707,52.275,31586000,2018,2,13,Tuesday,0.715
2018-02-14,52.716,53.7735,52.49,53.635,53.1953,41304000,2018,2,14,Wednesday,1.2835
2018-02-15,54.1725,54.705,53.3615,54.568,54.1207,37396000,2018,2,15,Thursday,1.3435
