Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2018-01-02,52.651,53.799,52.651,53.6605,53.2206,31766000,2018,1,2,Tuesday,1.148,,,,53.6605,,,,,SELL,0,0
2018-01-03,53.6965,54.805,53.6715,54.576,54.1286,31318000,2018,1,3,Wednesday,1.1335,,,,53.7477,0.017061,0.016917,0.017061,,SELL,0,0
2018-01-04,54.8545,55.204,54.713,54.788,54.3389,26052000,2018,1,4,Thursday,0.491,,,,53.8468,0.003884,0.003877,0.021011,,SELL,0,0
2018-01-05,55.1725,55.679,55.09,55.5145,55.0594,30250000,2018,1,5,Friday,0.589,,,,54.0056,0.01326,0.013173,0.03455,,SELL,0,0
2018-01-08,55.55,55.958,55.5,55.7105,55.2538,24644000,2018,1,8,Monday,0.458,,,,54.168,0.003531,0.003524,0.038203,,SELL,0,0
2018-01-09,55.922,55.922,55.41,55.6395,55.1834,26808000,2018,1,9,Tuesday,0.512,,,,54.3081,-0.001274,-0.001275,0.03688,,SELL,0,0
2018-01-10,55.35,55.639,55.199,55.507,55.052,20734000,2018,1,10,Wednesday,0.44,,,,54.4223,-0.002381,-0.002384,0.034411,,SELL,0,0
2018-01-11,55.6155,55.7425,55.324,55.6025,55.1467,22424000,2018,1,11,Thursday,0.4185,,,,54.5347,0.001721,0.001719,0.036192,,SELL,0,0
2018-01-12,55.505,56.565,55.4005,56.5325,56.0691,38586000,2018,1,12,Friday,1.1645,,,,54.725,0.016726,0.016588,0.053523,,SELL,0,0
2018-01-16,57.0155,57.444,56.333,56.535,56.0716,36462000,2018,1,16,Tuesday,1.111,,,,54.8973,4.4e-05,4.4e-05,0.053569,,SELL,0,0
2018-01-17,56.818,56.966,56.1745,56.955,56.4881,27830000,2018,1,17,Wednesday,0.7915,,,,55.0933,0.007429,0.007402,0.061396,,SELL,0,0
2018-01-18,56.9675,57.0295,56.223,56.7985,56.3329,27498000,2018,1,18,Thursday,0.8065,,,,55.2557,-0.002748,-0.002752,0.05848,,SELL,0,0
2018-01-19,56.9015,57.189,56.625,57.175,56.7063,30552000,2018,1,19,Friday,0.564,,,,55.4385,0.006629,0.006607,0.065496,,SELL,0,0
2018-01-22,57.191,58.344,57.091,58.208,57.7309,29550000,2018,1,22,Monday,1.253,,,,55.7023,0.018067,0.017906,0.084747,,SELL,0,0
2018-01-23,58.531,58.9255,58.3625,58.8085,58.3264,39138000,2018,1,23,Tuesday,0.563,,,,55.9981,0.010316,0.010264,0.095937,,SELL,0,0
2018-01-24,59.249,59.3525,58.37,58.5645,58.0844,37128000,2018,1,24,Wednesday,0.9825,,,,56.2425,-0.004149,-0.004158,0.09139,,SELL,0,0
2018-01-25,59.0355,59.25,58.592,59.107,58.6225,29984000,2018,1,25,Thursday,0.658,,,,56.5153,0.009263,0.009221,0.101499,,SELL,0,0
2018-01-26,59.3765,59.378,58.4015,59.378,58.8913,42170000,2018,1,26,Friday,0.9765,,,,56.788,0.004585,0.004574,0.10655,,SELL,0,0
2018-01-29,59.4,59.9,59.203,59.324,58.8377,31494000,2018,1,29,Monday,0.697,,,,57.0295,-0.000909,-0.00091,0.105544,,SELL,0,0
2018-01-30,58.886,59.3965,58.7255,58.8685,58.3859,37338000,2018,1,30,Tuesday,0.671,56.8626,,,57.2046,-0.007678,-0.007708,0.097055,,SELL,0,0
2018-01-31,59.1905,59.316,58.605,59.111,58.6264,36022000,2018,1,31,Wednesday,0.711,57.1352,,,57.3862,0.004119,0.004111,0.101574,0.117982,SELL,0,0
2018-02-01,58.7995,59.3725,58.468,59.0795,58.5952,73514000,2018,2,1,Thursday,0.9045,57.3604,,,57.5475,-0.000533,-0.000533,0.100987,0.110149,SELL,0,0
2018-02-02,56.371,56.565,55.5585,55.96,55.5013,117842000,2018,2,2,Friday,1.0065,57.419,,,57.3963,-0.052802,-0.054247,0.042853,0.229755,SELL,0,0
2018-02-05,55.0305,55.7495,52.837,53.1195,52.6841,83550000,2018,2,5,Monday,2.9125,57.2992,,,56.989,-0.050759,-0.052093,-0.010081,0.289622,SELL,0,0
2018-02-06,51.699,54.369,51.5005,54.2215,53.777,76630000,2018,2,6,Tuesday,2.8685,57.2248,,,56.7254,0.020746,0.020533,0.010455,0.300265,SELL,0,0
2018-02-07,54.2485,54.3265,52.731,52.7705,52.3379,51942000,2018,2,7,Wednesday,1.5955,57.0813,,,56.3487,-0.026761,-0.027125,-0.016585,0.3137,SELL,0,0
2018-02-08,52.9935,53.1965,50.235,50.3855,49.9725,66792000,2018,2,8,Thursday,2.9615,56.8252,,,55.7808,-0.045196,-0.046249,-0.061032,0.348457,SELL,0,0
2018-02-09,51.294,52.586,49.85,52.3135,51.8847,98360000,2018,2,9,Friday,2.736,56.6608,,,55.4506,0.038265,0.037551,-0.025102,0.379963,SELL,0,0
2018-02-12,52.8335,53.2785,52.2745,52.728,52.2958,56240000,2018,2,12,Monday,1.004,56.4706,,,55.1913,0.007923,0.007892,-0.017378,0.375228,SELL,0,0
