Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2018-01-02,86.13,86.31,85.5,85.95,78.8703,22483800,2018,1,2,Tuesday,0.81
2018-01-03,86.06,86.51,85.97,86.35,79.2374,26061400,2018,1,3,Wednesday,0.54
2018-01-04,86.59,87.66,86.57,87.11,79.9348,21912000,2018,1,4,Thursday,1.09
2018-01-05,87.66,88.41,87.43,88.19,80.9258,23407100,2018,1,5,Friday,0.98
2018-01-08,88.2,88.58,87.6,88.28,81.0084,22113000,2018,1,8,Monday,0.98
2018-01-09,88.65,88.73,87.86,88.22,80.9534,19484300,2018,1,9,Tuesday,0.87
2018-01-10,87.86,88.19,87.41,87.82,80.5863,18652200,2018,1,10,Wednesday,0.78
2018-01-11,88.13,88.13,87.24,88.08,80.8249,17808900,2018,1,11,Thursday,0.89
2018-01-12,88.67,89.78,88.45,89.6,82.2197,24271500,2018,1,12,Friday,1.33
2018-01-16,90.1,90.79,88.01,88.35,81.0727,36599700,2018,1,16,Tuesday,2.78
2018-01-17,89.08,90.28,88.75,90.14,82.7152,25621200,2018,1,17,Wednesday,1.53
2018-01-18,89.8,90.67,89.66,90.1,82.6785,24159700,2018,1,18,Thursday,1.01
2018-01-19,90.14,90.61,89.66,90.0,82.5868,36875000,2018,1,19,Friday,0.95
2018-01-22,90.0,91.62,89.74,91.61,84.0641,23601600,2018,1,22,Monday,1.88
2018-01-23,91.9,92.3,91.54,91.9,84.3303,23412800,2018,1,23,Tuesday,0.76
2018-01-24,92.55,93.43,91.58,91.82,84.2569,33277500,2018,1,24,Wednesday,1.85
2018-01-25,92.47,93.24,91.93,92.33,84.7249,26383200,2018,1,25,Thursday,1.31
2018-01-26,93.12,94.06,92.58,94.06,86.3123,29172200,2018,1,26,Friday,1.48
2018-01-29,95.14,95.45,93.72,93.92,86.1839,31569900,2018,1,29,Monday,1.73
2018-01-30,93.3,93.66,92.1,92.74,85.1011,38635100,2018,1,30,Tuesday,1.56
2018-01-31,93.75,95.4,93.51,95.01,87.1841,48756300,2018,1,31,Wednesday,1.89
2018-02-01,94.79,96.07,93.58,94.26,86.4959,47227900,2018,2,1,Thursday,2.49
2018-02-02,93.64,93.97,91.5,91.78,84.2202,47867800,2018,2,2,Friday,2.47
2018-02-05,90.56,93.24,88.0,88.0,80.7515,51031500,2018,2,5,Monday,5.24
2018-02-06,86.89,91.48,85.25,91.33,83.8072,67998600,2018,2,6,Tuesday,6.23
2018-02-07,90.49,91.77,89.2,89.61,82.2289,41107600,2018,2,7,Wednesday,2.57
2018-02-08,89.71,89.88,84.76,85.01,78.0078,55628700,2018,2,8,Thursday,5.12
2018-02-09,86.3,88.93,83.83,88.18,80.9167,63499100,2018,2,9,Friday,5.1
2018-02-12,88.74,89.78,87.93,89.13,81.7884,35720300,2018,2,12,Monday,1.85
2018-02-13,88.93,90.0,87.8,89.83,82.4308,26407700,2018,2,13,Tuesday,2.2
2018-02-14,88.51,90.99,88.41,90.81,83.7215,34960900,2018,2,14,Wednesday,2.58
2018-02-15,91.21,92.72,90.62,92.66,85.4271,27823900,2018,2,15,Thursday,2.1
2018-02-16,92.45,93.5,91.8,92.0,84.8186,30596900,2018,2,16,Friday,1.7
2018-02-20,91.48,93.06,91.01,92.72,85.4824,30911700,2018,2,20,Tuesday,2.05
2018-02-21,92.98,93.36,91.49,91.49,84.3484,26922500,2018,2,21,Wednesday,1.87
2018-02-22,92.05,92.73,91.36,91.73,84.5697,24392800,2018,2,22,Thursday,1.37
2018-02-23,93.6,94.07,92.36,94.06,86.7178,26329200,2018,2,23,Friday,1.71
2018-02-26,94.4,95.45,94.25,95.42,87.9716,30199800,2018,2,26,Monday,1.2
2018-02-27,95.74,95.84,94.2,94.2,86.8469,25869100,2018,2,27,Tuesday,1.64
2018-02-28,94.84,95.71,93.63,93.77,86.4504,31167300,2018,2,28,Wednesday,2.08
2018-03-01,93.99,94.57,91.84,92.85,85.6022,37135600,2018,3,1,Thursday,2.73
2018-03-02,91.58,93.15,90.86,93.05,85.7866,32830400,2018,3,2,Friday,2.29
2018-03-05,92.34,94.27,92.26,93.64,86.3306,23901600,2018,3,5,Monday,2.01
2018-03-06,94.34,94.49,92.94,93.32,86.0356,22175800,2018,3,6,Tuesday,1.55
2018-03-07,93.16,93.94,92.43,93.86,86.5334,26716100,2018,3,7,Wednesday,1.51
