Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2018-01-02,86.13,86.31,85.5,85.95,78.8703,22483800,2018,1,2,Tuesday,0.81,,,,85.95,,,,,SELL,0,0
2018-01-03,86.06,86.51,85.97,86.35,79.2374,26061400,2018,1,3,Wednesday,0.54,,,,85.9881,0.004654,0.004643,0.004654,,SELL,0,0
2018-01-04,86.59,87.66,86.57,87.11,79.9348,21912000,2018,1,4,Thursday,1.09,,,,86.0949,0.008801,0.008763,0.013496,,SELL,0,0
2018-01-05,87.66,88.41,87.43,88.19,80.9258,23407100,2018,1,5,Friday,0.98,,,,86.2945,0.012398,0.012322,0.026061,,SELL,0,0
2018-01-08,88.2,88.58,87.6,88.28,81.0084,22113000,2018,1,8,Monday,0.98,,,,86.4836,0.001021,0.00102,0.027109,,SELL,0,0
2018-01-09,88.65,88.73,87.86,88.22,80.9534,19484300,2018,1,9,Tuesday,0.87,,,,86.6489,-0.00068,-0.00068,0.02641,,SELL,0,0
2018-01-10,87.86,88.19,87.41,87.82,80.5863,18652200,2018,1,10,Wednesday,0.78,,,,86.7605,-0.004534,-0.004544,0.021757,,SELL,0,0
2018-01-11,88.13,88.13,87.24,88.08,80.8249,17808900,2018,1,11,Thursday,0.89,,,,86.8861,0.002961,0.002956,0.024782,,SELL,0,0
2018-01-12,88.67,89.78,88.45,89.6,82.2197,24271500,2018,1,12,Friday,1.33,,,,87.1446,0.017257,0.01711,0.042467,,SELL,0,0
2018-01-16,90.1,90.79,88.01,88.35,81.0727,36599700,2018,1,16,Tuesday,2.78,,,,87.2594,-0.013951,-0.014049,0.027923,,SELL,0,0
2018-01-17,89.08,90.28,88.75,90.14,82.7152,25621200,2018,1,17,Wednesday,1.53,,,,87.5337,0.02026,0.020058,0.048749,,SELL,0,0
2018-01-18,89.8,90.67,89.66,90.1,82.6785,24159700,2018,1,18,Thursday,1.01,,,,87.7782,-0.000444,-0.000444,0.048283,,SELL,0,0
2018-01-19,90.14,90.61,89.66,90.0,82.5868,36875000,2018,1,19,Friday,0.95,,,,87.9898,-0.00111,-0.00111,0.04712,,SELL,0,0
2018-01-22,90.0,91.62,89.74,91.61,84.0641,23601600,2018,1,22,Monday,1.88,,,,88.3345,0.017889,0.017731,0.065852,,SELL,0,0
2018-01-23,91.9,92.3,91.54,91.9,84.3303,23412800,2018,1,23,Tuesday,0.76,,,,88.6741,0.003166,0.003161,0.069226,,SELL,0,0
2018-01-24,92.55,93.43,91.58,91.82,84.2569,33277500,2018,1,24,Wednesday,1.85,,,,88.9737,-0.000871,-0.000871,0.068295,,SELL,0,0
2018-01-25,92.47,93.24,91.93,92.33,84.7249,26383200,2018,1,25,Thursday,1.31,,,,89.2934,0.005554,0.005539,0.074228,,SELL,0,0
2018-01-26,93.12,94.06,92.58,94.06,86.3123,29172200,2018,1,26,Friday,1.48,,,,89.7473,0.018737,0.018564,0.094356,,SELL,0,0
